"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AlexBerenson: Hospitalized #COVID patients in Georgia down another 21% in 10 days, 34% this month. At this point the onus is on the gov",FALSE,0,NA,2020-05-19 23:59:56,FALSE,NA,"1262895797710000136",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","suelarocca",1624,TRUE,FALSE,NA,NA
"2","RT @CienciaPR: 12 members of Congress  letter urging HHS to prioritize distribution of resources to fight #COVID in #PuertoRico &amp; US terr",FALSE,0,NA,2020-05-19 23:59:54,FALSE,NA,"1262895791083053057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prlcsf",22,TRUE,FALSE,NA,NA
"3","RT @2NURFMNews: 2NURFM Hunter News: More Hunter and Central Coast Suburbs Facing Disad... https://t.co/DsbO1wiAA3 #COVID-19 #EmergingDisadv",FALSE,0,NA,2020-05-19 23:59:51,FALSE,NA,"1262895778504290305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlanJMitchell_",1,TRUE,FALSE,NA,NA
"4","RT @DrLee4America: #FDA Bureaucrat Brags He Blocked #Physicians Prescribing of #Hydroxychloroquine in Early #COVID-19 

Safe effective medi",FALSE,0,NA,2020-05-19 23:59:51,FALSE,NA,"1262895776633503744",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AAPSonline",1316,TRUE,FALSE,NA,NA
"5","RT @FreedomforceR: RT Video here https://t.co/AjOJ5epRZr 

#Hydroxychloroquine #vaccine #COVID19 #coronavirus #COVID #TheGreatAwakening",FALSE,0,NA,2020-05-19 23:59:49,FALSE,NA,"1262895769893339137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Michael51946232",73,TRUE,FALSE,NA,NA
"6","RT @Tombx7M: Cuomos legacy
People are going to die
Especially under my leadership 

#Ccot #KAG2020 #Trump2020 #COVID #coronavirus #Tcot #F",FALSE,0,NA,2020-05-19 23:59:49,FALSE,NA,"1262895768702193665",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FreeIllinoisNow",354,TRUE,FALSE,NA,NA
"7","RT @_MariettaDavis: Ruairi O Leochain, a school teacher &amp; wildlife activist,decided to make a beehive made entirely out of LEGOsduring hi",FALSE,0,NA,2020-05-19 23:59:48,FALSE,NA,"1262895763245457409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramnafaysal",27,TRUE,FALSE,NA,NA
"8","Alert - Three new #COVID + cases detected from Sarusajai Quarantine Centre. Now the total patient count goes to 157 https://t.co/1de0Nb1ClX",FALSE,0,NA,2020-05-19 23:59:40,TRUE,NA,"1262895729942593543",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Biswaji48185890",0,FALSE,FALSE,NA,NA
"9","RT @SATAVRAJEEV: Health Ministry has stopped holding daily Press Conference since 11th May. What are they concealing? This clearly explains",FALSE,0,NA,2020-05-19 23:59:39,FALSE,NA,"1262895725270220804",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","being_semi2",124,TRUE,FALSE,NA,NA
"10","RT @CristobalJAlex: VP Biden at tonights virtual townhall on #COVID and food security: The intelligence community didnt fail. The preside",FALSE,0,NA,2020-05-19 23:59:30,FALSE,NA,"1262895687706071046",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JerseyGirls4Joe",9,TRUE,FALSE,NA,NA
